EQ, 700920245.79, HSR, UW,   , EHZ, P, None, F
EQ, 700920236.28, TCO, UW,   , EHZ, P, None, F
EQ, 700920246.51, SOS, UW,   , EHZ, P, None, F
EQ, 700920241.2, RVW, UW,   , EHZ, P, None, F
EQ, 700920246.84, VIP, UW,   , EHZ, P, None, F
EQ, 700920235.83, NLO, UW,   , EHZ, P, None, F
EQ, 700920245.91, STD, UW,   , EHZ, P, None, F
EQ, 700920245.63, ELK, UW,   , EHZ, P, None, F
EQ, 700920243.25, GMO, UW,   , EHZ, P, None, F
EQ, 700920242.84, LVP, UW,   , EHZ, P, None, F
EQ, 700920245.58, AUG, UW,   , EHZ, P, None, F
EQ, 700920245.56, SHW, UW,   , EHZ, P, None, F
EQ, 700920250.51, VTH, UW,   , EHZ, P, None, F
EQ, 700920250.85, VGB, UW,   , EHZ, P, None, F
EQ, 700920245.4, VCR, UW,   , EHZ, P, None, F
EQ, 700920224.49, WMO, UW,   , EHZ, P, None, F
EQ, 700920243.49, MTM, UW,   , EHZ, P, None, F
EQ, 700920293.3, MTM, UW,   , EHZ, S, None, F
EQ, 700920247.74, GUL, UW,   , EHZ, P, None, F
EQ, 700920245.6, CDF, UW,   , EHZ, P, None, F
EQ, 700920241.15, TDH, UW,   , EHZ, P, None, F
EQ, 700920213.88, RNO, UW,   , EHZ, P, None, F
EQ, 700920246.02, YEL, UW,   , EHZ, P, None, F
EQ, 700920216.93, DBO, UW,   , EHZ, P, None, F
EQ, 700920246.93, TDL, UW,   , EHZ, P, None, F
EQ, 700920299.98, TDL, UW,   , EHZ, S, None, F
EQ, 700920219.17, MPO, UW,   , EHZ, P, None, F
EQ, 700920244.78, FL2, UW,   , EHZ, P, None, F
EQ, 700920294.97, FL2, UW,   , EHZ, S, None, F
EQ, 700920246.03, EDM, UW,   , EHZ, P, None, F
EQ, 700920299.44, EDM, UW,   , EHZ, S, None, F
EQ, 700920253.85, LO2, UW,   , EHZ, P, None, F
EQ, 700920232.1, SSO, UW,   , EHZ, P, None, F
EQ, 700920274.93, SSO, UW,   , EHZ, S, None, F
EQ, 700920266.49, TBM, UW,   , EHZ, P, None, F
EQ, 700920236.04, VG2, UW,   , EHZ, P, None, F
EQ, 700920281.12, VG2, UW,   , EHZ, S, None, F
EQ, 700920239.46, NCO, UW,   , EHZ, P, None, F
EQ, 700920253.83, GL2, UW,   , EHZ, P, None, F
EQ, 700920227.4, FBO, UW,   , EHZ, P, None, F
EQ, 773393767.64, HDW, UW,   , EHZ, P, None, F
EQ, 773393770.6, HDW, UW,   , EHZ, S, None, F
EQ, 773393772.79, SMW, UW,   , EHZ, P, None, F
EQ, 773393766.61, GMW, UW,   , EHZ, P, None, F
EQ, 773393768.47, GMW, UW,   , EHZ, S, None, F
EQ, 685395103.49, ELL, UW,   , EHZ, S, None, F
EQ, 685395085.35, LOC, UW,   , EHZ, S, None, F
EQ, 685395103.57, PRO, UW,   , EHZ, S, None, F
EQ, 685395092.56, BVW, UW,   , EHZ, S, None, F
EQ, 685395082.01, ETW, UW,   , EHZ, S, None, F
EQ, 685395091.08, VTG, UW,   , EHZ, S, None, F
EQ, 685395082.52, ET3, UW,   , EHZ, S, None, F
EQ, 685395111.25, NAC, UW,   , EHZ, S, None, F
EQ, 685395101.58, BRV, UW,   , EHZ, S, None, F
EQ, 685395089.25, GBL, UW,   , EHZ, S, None, F
EQ, 685395120.25, WPW, UW,   , EHZ, S, None, F
EQ, 685395082.25, RC1, UW,   , EHZ, S, None, F
EQ, 685395094.69, MDW, UW,   , EHZ, S, None, F
EQ, 685395093.4, WIW, UW,   , EHZ, S, None, F
